Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
seq164:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000639573130619107
seq98:unidentified	0	0	0	0	0	0	0	0	0	0.00141874462596733	0	0	0	0	0	0
seq174:f__Corynebacteriaceae;g__NA;s__sp5276	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006340179446291	0	0
seq188:g__Lactobacillus;s__fermentum	0	0.000437629921382911	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq204:f__Lachnospiraceae;g__NA;s__sp33760	0	0	0	0	0	0.000367535435209895	0	0	0	0	0	0	0	0	0	0
seq56:g__Delftia;s__acidovorans	0.000224838196797662	0.000312592800987793	0	0.000321446509291813	0	0	0	0.000454448246364414	0	0	0.000420334866777199	0.000447861461521236	0	0.000307402639820169	0	0.000402017396389153
seq9:g__Roseburia;s__sp33152	0	0	0	0.00275238573581115	0.00110270951480781	0.0329663305581745	0	0	0	0	0	0	0	0.00261292243847144	0	0
seq22:f__Lachnospiraceae;g__NA;s__sp32790	0	0.000328222441037183	0	0.00166750376695128	0	0.0060243851771361	0	0	0	0	0	0	0	0	0	0
seq62:f__Lachnospiraceae;g__NA;s__sp33582	0	0.000187555680592676	0	0.000321446509291813	0	0	0.00106957318936539	0.00139007698887938	0	0	0	0	0	0	0	0
seq179:g__Tyzzerella;s__sp33281	0	0.000500148481580469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq207:g__Pseudomonas;s__aeruginosa	0	0	0	0	0	0	0.000560252623000917	0	0	0	0	0	0	0	0	0
seq72:g__Delftia;s__acidovorans	0	0	0	0	0	0	0	0	0	0.00206362854686156	0	0	0	0	0	0
seq220:g__Methylobacterium;s__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000310649806300709
seq130:g__Acinetobacter;s__johnsonii	0	0.000781482002469483	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq21:f__Ruminococcaceae;g__NA;s__sp35748	0	0	0	0.000462079357106981	0.000498844780508297	0.0076223653302226	0	0	0	0	0	0	0	0	0	0
seq8:g__Bacteroides;s__xylanisolvens	0	0.0065019302605461	0.000495178883371618	0.00180813661476645	0	0.0377123316128414	0.00165529184068453	0	0	0	0	0.00311014903834192	0	0	0	0
seq39:g__Lachnoclostridium;s__bolteae-sp32431	0	0.000812741282568262	0	0.000220994475138122	0	0.000655171862765465	0.000636650707955587	0	0	0	0	0.00131870319225697	0	0	0	0
seq99:g__Alistipes;s__onderdonkii	0.000481796135994989	0	0	0	0	0.000559293053580275	0	0	0	0	0	0	0	0	0	0
seq198:unidentified	0	0	0	0	0	0	0	0	0	0.000537403267411866	0	0	0	0	0	0
seq209:unidentified	0	0	0	0	0	0.00035155563367903	0	0	0	0	0	0	0	0	0	0
seq118:g__Propionibacterium;s__acnes	0	0	0	0	0.000420079815164881	0	0	0	0	0	0	0	0.00149253731343284	0	0	0
seq94:g__Blautia;s__coccoides-producta	0	0	0	0	0	0	0.00127330141591117	0	0	0	0	0	0	0	0	0.000347196842336087
seq193:unidentified	0	0	0	0	0	0	0	0	0	0.000558899398108341	0	0	0	0	0	0
seq103:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00195750323619487	0
seq213:g__Blautia;s__producta	0	0	0	0.000421898543445505	0	0	0	0	0	0	0	0	0	0	0	0
seq226:g__Streptococcus;s__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000274102770265331
seq97:f__Lachnospiraceae;g__NA;s__sp32741-sp33513	0	0	0	0	0	0.00105466690103709	0	0	0	0	0	0	0	0	0	0
seq92:g__Delftia;s__acidovorans	0	0	0	0.000783525866398795	0	0	0	0	0	0	0	0	0	0	0	0.000548205540530663
seq105:g__Delftia;s__acidovorans	0	0	0	0	0	0	0	0.00112275449101796	0	0	0	0	0.000746268656716418	0	0	0
seq148:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000767487756742928
seq159:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00116818741514855	0
seq5:g__Microbacterium;s__aerolatum-sp6882	0.0593412240833829	0.0385895812819431	0.0306735808310752	0.0517729784028127	0.0218704053770216	0.0159158823247415	0.0310940205765509	0.0442686056458512	0.0392476594787596	0.0294711951848667	0.0364990775984868	0.0297330248065487	0.0253731343283582	0.0462833099579243	0.0476431029583557	0.0344273079453256
seq91:unidentified	0	0	0	0	0	0	0	0	0	0.0015262252794497	0	0	0	0	0	0
seq205:unidentified	0	0	0	0	0	0	0	0	0.000646630492844893	0	0	0	0	0	0	0
seq212:g__Stenotrophomonas;s__maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000383743878371464
seq88:unidentified	0	0	0	0	0	0.00113456590869141	0	0	0	0	0	0	0	0	0	0
seq13:g__Bacteroides;s__xylanisolvens	0	0.00176614932558103	0	0.000984429934706178	0	0.0188721456079516	0	0	0	0	0	0	0	0	0	0.000511658504495285
seq182:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000548205540530663
seq151:unidentified	0	0	0	0	0	0	0	0	0	0.00088134135855546	0	0	0	0	0	0
seq101:unidentified	0	0	0	0	0	0	0.00160435978404808	0	0	0	0	0	0	0	0	0
seq133:unidentified	0	0	0	0	0	0.000783010275012384	0	0	0	0	0	0	0	0	0	0
seq4:g__Rhodococcus;s__erythropolis-qingshengii-sp5959	0.0683347519552893	0.0474984761100952	0.0424203243421686	0.0586037167252637	0.040275152278933	0.0199108327074578	0.06723031476011	0.0508714713430282	0.0618797267283308	0.047055030094583	0.0462835392195783	0.0748177452663532	0.0680223880597015	0.0539107379584622	0.0566728759511256	0.0560083327242161
seq29:g__Turicibacter;s__sanguinis	0	0.00195370500617371	0	0.00072325464590658	0	0.000639192061234599	0	0	0	0	0	0.0020402577691523	0	0	0	0.000712667202689862
seq10:g__Bacteroides;s__uniformis	0	0.000265703880839624	0	0.000441988950276243	0	0.0317678454433596	0.000763980849546705	0.00106928999144568	0	0	0.00273217663405179	0	0	0	0	0
seq150:g__Microbacterium;s__aerolatum-sp6882	0	0	0	0	0	0	0	0	0	0.00088134135855546	0	0	0	0	0	0
seq232:g__Comamonas;s__testosteroni-thiooxydans	0	0	0	0	0.000315059861373661	0	0	0	0	0	0	0	0	0	0	0
seq2:g__Rhodococcus;s__erythropolis-qingshengii-sp5959	0.33174875937495	0.24660446069927	0.243683030494766	0.29741838272225	0.216131064902331	0.120855238977932	0.277503310583681	0.308356501283148	0.30712136973207	0.373946689595873	0.277677883380426	0.26209847975915	0.343880597014925	0.258986724048493	0.29874025194961	0.280882245449894
seq227:g__Rhodococcus;s__erythropolis-qingshengii-sp5959	0	0	0	0.000301356102461075	0	0	0	0	0	0	0	0	0	0	0	0
seq120:g__Escherichia;s__coli	0	0	0	0	0	0	0	0	0	0.00116079105760963	0	0	0	0	0	0
seq175:g__Corynebacterium;s__appendicis	0	0	0	0	0.000866414618777568	0	0	0	0	0	0	0	0	0	0	0
seq156:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000694393684672173
seq32:g__Akkermansia;s__muciniphila	0	0	0	0	0	0.00367535435209895	0	0	0	0	0	0	0	0	0	0.000895402382866749
seq190:g__Rhodococcus;s__erythropolis-qingshengii-sp5959	0	0	0.000371384162528714	0	0	0	0	0	0	0	0	0	0	0	0	0
seq121:unidentified	0	0	0.000151304658807994	0	0	0	0	0	0	0	0.00100413329285664	0	0	0	0	0
seq146:g__*Soleaferrea;s__sp34492	0	0.000406370641284131	0	0.00036162732295329	0	0	0	0	0	0	0	0	0	0	0	0
seq38:g__Parabacteroides;s__distasonis	0	0.000656444882074366	0	0	0	0.00183767717604947	0	0.00066830624465355	0	0	0	0	0	0	0	0
seq241:g__Blastomonas;s__natatoria-ursincola	0	0	0	0.000220994475138122	0	0	0	0	0	0	0	0	0	0	0	0
seq12:g__Parabacteroides;s__distasonis	0.000690574461592818	0.00492333661555774	0	0.000582621798091411	0	0.0127199220185685	0.000713048792910258	0.0050256629597947	0	0	0	0	0	0	0	0
seq200:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000757743188204464	0
seq18:unidentified	0	0.000750222722370704	0.000839053107935242	0	0.00141776937618147	0.000767030473481519	0.000993175104410716	0	0.000421715538811887	0.00199914015477214	0.00259206501179273	0.000870841730735737	0.00100746268656716	0.000902995254471748	0.00101032425093929	0.000475111468459908
seq11:f__Erysipelotrichaceae;g__NA;s__sp36741	0.000465736264795156	0.00396992857254497	0.000866563045900331	0.00192867905575088	0	0.0114415378960993	0.00101864113272894	0.00232570573139435	0	0	0	0.00281157473066109	0	0	0	0.000383743878371464
seq223:g__Delftia;s__acidovorans	0	0	0.000206324534738174	0	0	0	0	0	0	0	0	0	0	0	0	0
seq154:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000712667202689862
seq58:g__Enterococcus;s__NA	0	0	0	0	0	0.00156602055002477	0	0	0	0	0	0	0	0.000749293934561663	0	0
seq123:unidentified	0	0	0	0	0	0	0	0	0	0.00113929492691316	0	0	0	0	0	0
seq87:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227322956461339	0
seq109:g__Blautia;s__hydrogenotrophica	0	0	0	0	0	0.000958788091851899	0	0	0	0	0	0	0	0	0	0
seq127:g__Pseudomonas;s__pseudoalcaligenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00161020427493449	0
seq194:unidentified	0	0	0	0	0	0	0	0	0	0.000558899398108341	0	0	0	0	0	0
seq57:f__Lachnospiraceae;g__NA;s__sp33636	0	0	0	0	0	0.00225315201585196	0	0	0	0	0	0	0	0	0	0
seq106:g__Delftia;s__acidovorans	0	0	0	0	0	0	0	0	0	0	0.00144782009667702	0	0	0	0	0
seq181:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000566479058548352
seq215:g__Dechloromonas;s__denitrificans-hortensis	0	0	0	0	0	0	0	0	0.00053417301582839	0	0	0	0	0	0	0
seq202:g__Lachnoclostridium;s__sp32341-sp32430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00043856443242453
seq201:unidentified	0	0	0	0	0	0.00038351523674076	0	0	0	0	0	0	0	0	0	0
seq167:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110504214946484	0
seq65:unidentified	0	0	0	0	0	0	0.00295405928491392	0	0	0	0	0	0	0	0	0
seq25:g__Flavonifractor;s__plautii	0	0.000422000281333521	0	0.000301356102461075	0	0.00362741494750635	0.000407456453091576	0.00261976047904192	0	0	0	0	0	0.000826144594516705	0	0
seq236:g__Robinsoniella;s__peoriensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000201008698194576
seq161:unidentified	0	0	0	0	0	0	0	0	0	0.000795356835769562	0	0	0	0	0	0
seq135:f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	0	0.000767030473481519	0	0	0	0	0	0	0	0	0	0
seq86:unidentified	0	0	0	0	0	0	0	0	0	0.00154772141014617	0	0	0	0	0	0
seq43:g__Delftia;s__acidovorans	0.000658454719193152	0	0.000426404038458893	0.000582621798091411	0	0	0	0	0.000337372431049509	0.000365434221840069	0.000467038740863555	0	0	0.000461103959730254	0	0
seq153:f__Lachnospiraceae;g__NA;s__sp33374	0	0.000390741001234742	0	0.000301356102461075	0	0	0	0	0	0	0	0	0	0	0	0
seq115:g__Pseudomonas;s__psychrophila	0	0	0	0	0	0	0	0	0	0	0	0	0.00212686567164179	0	0	0
seq48:g__Subdoligranulum;s__sp35590	0	0.000328222441037183	0	0	0	0.00212531360360504	0	0	0	0	0	0	0	0	0	0
seq100:unidentified	0	0	0	0	0	0.00102270729797536	0	0	0	0	0	0	0	0	0	0
seq60:g__Sugarcane;s__phytoplasma	0.000401496779995824	0	0	0	0	0.00170983876380255	0	0	0	0	0	0	0	0	0	0
seq104:g__Turicibacter;s__sanguinis	0	0	0	0	0	0.000990747694913629	0	0	0	0	0	0	0	0	0	0
seq169:g__Lachnoclostridium;s__sp32362-sp33711	0	0	0	0	0	0.000559293053580275	0	0	0	0	0	0	0	0	0	0
seq117:unidentified	0	0	0	0	0	0	0.00142609758582052	0	0	0	0	0	0	0	0	0
seq139:g__Aquabacterium;s__parvum	0	0	0.000646483542179612	0	0	0	0	0	0	0	0	0	0	0	0	0
seq195:unidentified	0	0	0	0	0.000341314849821466	0	0	0	0	0	0	0	0.000447761194029851	0	0	0
seq114:unidentified	0	0	0	0	0	0	0	0	0	0.00124677558039553	0	0	0	0	0	0
seq81:g__Delftia;s__lacustris-tsuruhatensis	0	0	0.00107288758063851	0	0	0	0	0	0	0	0	0	0	0	0	0
seq3:unidentified	0.0538808678754396	0.151560619558932	0.174770635892216	0.0207533902561527	0.251601554295316	0.190543153454034	0.0603290210858714	0.0500427715996578	0.0540639320756839	0.126117798796217	0.144968825164047	0.1352043989948	0.145037313432836	0.116985917116563	0.102611056736021	0.0809516848183612
seq50:g__Rhodococcus;s__erythropolis-qingshengii-sp5959	0	0.000500148481580469	0	0	0	0	0	0	0	0.000687876182287188	0.000793965859468043	0.000398099076907765	0.000597014925373134	0.000441891294741494	0	0
seq149:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000749214238725239
seq124:g__Holdemania;s__massiliensis	0	0	0	0	0	0.000830949679604979	0	0	0	0	0	0	0	0	0	0
seq53:g__Anaerobiospirillum;s__sp56217	0	0	0	0	0	0	0	0	0	0	0.00333932699717442	0	0	0	0	0
seq199:unidentified	0	0	0	0	0	0	0	0	0	0.000515907136715391	0	0	0	0	0	0
seq162:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0.000708955223880597	0.000345827969797691	0	0
seq108:g__Rhodococcus;s__erythropolis-qingshengii-sp5959	0	0	0	0	0	0	0	0	0	0	0.00142446815963384	0	0	0	0	0
seq75:g__Acidibacter;s__sp65543	0	0	0	0	0	0	0	0	0	0	0.00212502627092917	0	0	0	0	0
seq138:unidentified	0	0.000171926040543286	0.000165059627790539	0	0	0.000175777816839515	0	0	0	0	0	0	0	0.000249764644853888	0	0
seq71:g__Delftia;s__acidovorans	0	0	0	0	0	0	0	0	0	0.00214961306964746	0	0	0	0	0	0
seq136:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148391374356708	0
seq129:unidentified	0	0	0	0	0	0	0	0	0.00140571846270629	0	0	0	0	0	0	0
seq187:unidentified	0	0	0	0	0	0	0.000713048792910258	0	0	0	0	0	0	0	0	0
seq36:g__Anaerotruncus;s__sp34453	0	0	0	0	0	0.0028763642755557	0	0	0	0	0	0	0	0.000345827969797691	0	0
seq206:g__Noviherbaspirillum;s__sp49445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000420290914406842
seq128:g__Rhodococcus;s__erythropolis-qingshengii-sp5959	0	0.000171926040543286	0	0.000502260170768458	0	0	0	0	0	0	0.000326927118604488	0	0	0	0	0
seq46:unidentified	0	0	0	0	0	0.00258872784800013	0	0	0	0	0	0	0	0	0	0
seq77:g__Rhodococcus;s__erythropolis-qingshengii-sp5959	0	0	0	0	0	0	0	0	0	0	0.002101674333886	0	0	0	0	0
seq184:g__Odoribacter;s__sp13171	0	0	0	0	0	0.00047939404592595	0	0	0	0	0	0	0	0	0	0
seq126:unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000931949418902127
seq214:g__Pyrinomonas;s__methylaliphatogenes	0	0	0.000275099379650899	0	0	0	0	0	0	0	0	0	0	0	0	0
seq111:unidentified	0	0	0	0	0	0	0	0	0.00168686215524755	0	0	0	0	0	0	0
seq20:g__Parabacteroides;s__distasonis	0	0.00146918616464263	0	0.000301356102461075	0	0.00572076894804967	0	0.00155047048759624	0	0	0	0	0	0	0	0
seq196:unidentified	0	0	0	0	0	0	0	0	0	0.000537403267411866	0	0	0	0	0	0
seq180:f__Ruminococcaceae;g__NA;s__sp35796	0	0	0	0	0	0.000495373847456815	0	0	0	0	0	0	0	0	0	0
seq125:g__Anaerotruncus;s__sp34453	0	0	0	0	0	0.000830949679604979	0	0	0	0	0	0	0	0	0	0
seq113:unidentified	0	0	0	0	0	0.000926828488790169	0	0	0	0	0	0	0	0	0	0
seq242:g__Enhydrobacter-Moraxella;s__aerosaccus-osloensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000201008698194576
seq217:g__Delftia;s__acidovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000328923324318398
seq122:g__Rickettsia;s__buchneri-endosymbiont	0	0	0	0	0	0	0	0.000775235243798118	0	0	0	0	0	0	0	0.000456837950442219
seq229:g__Noviherbaspirillum;s__sp49445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000255829252247643
