	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_10_0.txt	10	0	1.06978	0.79372	0.60978	0.77443	0.60978	0.82577	0.77443	0.77443	0.77443	0.77443	0.77443	0.62907	0.60978	0.60978	0.60978	0.97615
alpha_rarefaction_10_1.txt	10	1	0.77443	2.10248	0.77443	0.8115	0.60978	1.04145	0.60978	0.60978	0.77443	0.77443	0.77443	0.60978	0.60978	0.77443	0.77443	0.60978
alpha_rarefaction_10_2.txt	10	2	0.77443	0.60978	0.60978	0.60978	0.60978	0.95502	0.60978	0.77443	0.60978	0.60978	0.77443	0.71921	0.77443	0.60978	0.60978	0.77443
alpha_rarefaction_10_3.txt	10	3	0.60978	0.9316	0.60978	0.78854	0.60978	0.86041	0.60978	0.74453	0.77443	0.60978	0.77443	0.77443	0.77443	0.78854	0.87057	0.77443
alpha_rarefaction_10_4.txt	10	4	0.77443	0.77443	0.60978	0.60978	0.60978	0.67045	0.77443	0.77443	0.60978	0.60978	0.60978	0.60978	0.38203	0.8055	0.77443	0.77443
alpha_rarefaction_10_5.txt	10	5	0.60978	0.77415	0.60978	0.60978	0.77443	0.62907	0.60978	0.77443	0.60978	0.60978	0.86553	0.77443	0.60978	0.60978	0.60978	0.79372
alpha_rarefaction_10_6.txt	10	6	0.60978	0.77443	0.60978	0.88386	0.60978	0.80962	0.77443	0.60978	0.60978	0.60978	0.60978	0.60978	0.60978	0.77443	0.60978	0.60978
alpha_rarefaction_10_7.txt	10	7	0.60978	0.98208	0.60978	0.84095	1.04454	0.92147	0.77443	0.84203	0.60978	0.60978	0.60978	0.83683	0.60978	0.60978	0.60978	0.60978
alpha_rarefaction_10_8.txt	10	8	0.77443	0.99543	0.83683	0.90513	0.60978	1.12449	0.60978	0.54668	0.60978	0.60978	0.77443	0.62907	0.60978	0.60978	0.60978	0.60978
alpha_rarefaction_10_9.txt	10	9	0.60978	1.00148	0.60978	0.60978	0.86457	0.80783	0.77443	0.60978	0.60978	0.60978	1.01648	0.60978	0.60978	0.60978	0.77443	0.60978
alpha_rarefaction_2009_0.txt	2009	0	1.59877	3.28496	2.11578	2.33617	2.95904	3.40201	1.76119	1.81804	0.89685	1.29245	2.07841	1.56785	1.28582	1.43481	1.16215	2.45774
alpha_rarefaction_2009_1.txt	2009	1	1.63983	3.25788	1.3143	1.98233	2.71055	3.15243	1.54044	1.7707	0.90136	1.27761	1.90364	1.52547	1.31256	1.52144	1.16215	2.40745
alpha_rarefaction_2009_2.txt	2009	2	1.53292	3.29895	1.10476	2.30038	3.03807	3.37026	1.71796	1.90706	1.06425	1.31808	1.90364	1.62454	1.31256	1.51331	1.16215	2.91481
alpha_rarefaction_2009_3.txt	2009	3	1.39335	3.38919	1.04011	2.17711	2.90996	3.13176	1.66673	1.78513	0.93732	1.27761	1.92002	1.56755	1.31256	1.67705	1.16215	2.93346
alpha_rarefaction_2009_4.txt	2009	4	1.56698	3.14807	0.99073	1.88634	3.10433	3.35756	1.62628	1.7707	1.06425	1.23892	2.05524	1.52547	1.31256	1.69274	1.03522	3.05161
alpha_rarefaction_2009_5.txt	2009	5	1.49427	3.4062	2.16869	2.07199	2.8617	3.32669	1.40569	1.88937	0.89685	1.31808	1.86301	1.60781	1.31256	1.63732	1.16215	2.58747
alpha_rarefaction_2009_6.txt	2009	6	1.6092	2.0475	1.19499	1.9092	2.81209	3.13721	1.40569	1.82719	0.89685	1.27761	1.92697	1.62454	1.28582	1.47379	1.16215	2.23415
alpha_rarefaction_2009_7.txt	2009	7	1.69234	3.39937	1.30186	1.87032	2.60827	3.08165	1.40553	1.72126	0.93732	1.28758	1.90348	1.6247	1.31256	1.8018	1.16215	2.30618
alpha_rarefaction_2009_8.txt	2009	8	1.48483	3.54771	1.30186	1.78549	1.90458	3.22456	1.76087	1.74974	1.02378	1.13051	1.90348	1.60795	1.31256	1.54361	1.16215	2.75987
alpha_rarefaction_2009_9.txt	2009	9	1.6221	2.24096	1.0404	2.10062	2.81582	3.11436	1.66086	1.89775	0.94183	1.27939	2.05508	1.56769	1.28693	1.70268	1.16215	2.93338
alpha_rarefaction_4008_0.txt	4008	0	1.66399	3.51148	1.31459	2.3206	2.9814	3.42665	1.62644	1.92802	1.06425	1.31808	2.07873	1.58232	1.31256	1.56527	1.16215	2.31742
alpha_rarefaction_4008_1.txt	4008	1	1.6092	3.62639	2.36416	2.56407	3.03807	3.53776	1.40569	1.92802	1.06425	1.31808	1.91986	1.6247	1.31256	1.8679	1.16215	2.20427
alpha_rarefaction_4008_2.txt	4008	2	1.6932	3.4988	1.24831	2.3424	3.10433	3.3027	1.76119	1.78513	0.94183	1.31808	2.07873	1.60795	1.31256	1.88428	1.16215	3.84425
alpha_rarefaction_4008_3.txt	4008	3	1.77503	2.58303	2.36416	2.39334	3.08768	3.35712	1.76119	1.87679	1.06425	1.31808	2.07178	1.62456	1.31256	1.88428	1.16215	3.08844
alpha_rarefaction_4008_4.txt	4008	4	1.81692	3.45821	2.37675	2.46972	3.06431	3.47263	1.76119	1.83993	1.02378	1.31808	2.07857	1.60781	1.31256	1.66949	1.16215	2.38957
alpha_rarefaction_4008_5.txt	4008	5	1.77503	3.33451	2.36416	2.09188	3.08768	3.37418	1.40569	1.92802	1.06425	1.31808	1.92002	1.62456	1.31256	1.64632	1.16215	3.56105
alpha_rarefaction_4008_6.txt	4008	6	1.66174	3.68719	2.36416	2.29383	3.10433	3.47237	1.62644	1.89775	1.06425	1.31808	1.92697	1.62456	1.31256	1.89123	1.16215	3.09318
alpha_rarefaction_4008_7.txt	4008	7	1.50492	3.47557	2.33642	2.11949	3.08768	3.53761	1.71796	1.84831	1.06425	1.31808	2.07857	1.6247	1.31256	1.6521	1.16215	2.46067
alpha_rarefaction_4008_8.txt	4008	8	1.81692	3.65239	1.19893	2.49235	3.08768	3.34257	1.54044	1.81804	1.06425	1.31808	1.92002	1.6244	1.31256	1.89123	1.16215	3.90135
alpha_rarefaction_4008_9.txt	4008	9	1.58757	3.52237	1.06621	1.94288	3.03807	3.48126	1.76119	1.84831	1.06425	1.30064	2.07873	1.62456	1.31256	1.76352	1.16215	2.34088
alpha_rarefaction_6007_0.txt	6007	0	1.81692	3.60988	1.31444	2.42052	3.10433	3.50979	1.76119	1.92802	1.06425	1.31808	1.92697	1.6247	1.31256	1.89123	1.16215	3.93026
alpha_rarefaction_6007_1.txt	6007	1	1.76915	3.57765	2.36416	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.70282	1.16215	3.23292
alpha_rarefaction_6007_2.txt	6007	2	1.84025	3.56042	1.30186	2.42066	3.03807	3.50979	1.76119	1.92802	1.02378	1.31808	1.92697	1.6247	1.31256	1.74184	1.16215	4.07852
alpha_rarefaction_6007_3.txt	6007	3	1.84025	3.67038	1.31459	2.55199	3.03807	3.53776	1.62644	1.84831	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.84425
alpha_rarefaction_6007_4.txt	6007	4	1.58757	3.35271	1.31459	2.54563	3.10433	3.52505	1.76119	1.91964	1.06425	1.31808	2.07873	1.62456	1.31256	1.89123	1.16215	3.19065
alpha_rarefaction_6007_5.txt	6007	5	1.79836	3.5858	2.37689	2.19633	3.03807	3.43932	1.76119	1.84831	1.06425	1.31808	1.92697	1.6247	1.31256	1.89123	1.16215	3.55208
alpha_rarefaction_6007_6.txt	6007	6	1.79803	3.6704	2.37689	2.3997	3.10433	3.48537	1.76119	1.92786	1.06425	1.31808	2.07873	1.62454	1.31256	1.78685	1.16215	3.26183
alpha_rarefaction_6007_7.txt	6007	7	1.84025	3.65255	2.36402	2.49435	3.10433	3.53791	1.65635	1.84831	1.06425	1.31808	2.07857	1.6247	1.31256	1.8656	1.16215	2.63798
alpha_rarefaction_6007_8.txt	6007	8	1.73509	3.521	2.37689	2.5728	3.10433	3.48522	1.76119	1.92802	1.06425	1.27761	2.07873	1.6247	1.31256	1.89123	1.16215	3.36787
alpha_rarefaction_6007_9.txt	6007	9	1.84025	3.68703	2.33642	2.4924	3.06431	3.48537	1.76119	1.90706	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.92054
alpha_rarefaction_8006_0.txt	8006	0	1.79836	3.59482	2.37674	2.51957	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	1.92697	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_8006_1.txt	8006	1	1.82016	3.44886	2.37689	2.57295	3.10433	3.48537	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.78685	1.16215	4.07852
alpha_rarefaction_8006_2.txt	8006	2	1.84025	3.68719	2.36416	2.47002	3.10433	3.50979	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_8006_3.txt	8006	3	1.84025	3.67054	1.31459	2.51957	3.10433	3.48537	1.76119	1.92802	1.06425	1.27761	2.07873	1.6247	1.31256	1.89123	1.16215	4.02142
alpha_rarefaction_8006_4.txt	8006	4	1.84025	3.68735	2.37689	2.46987	3.10433	3.53791	1.62644	1.92802	1.02378	1.31808	2.07873	1.6247	1.31256	1.8679	1.16215	3.0557
alpha_rarefaction_8006_5.txt	8006	5	1.84025	3.63242	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.36787
alpha_rarefaction_8006_6.txt	8006	6	1.84025	3.68703	1.31459	2.51972	3.10433	3.53791	1.76119	1.92802	1.06425	1.27761	2.07873	1.6247	1.31256	1.8679	1.16215	4.03583
alpha_rarefaction_8006_7.txt	8006	7	1.84025	3.62377	2.37689	2.5728	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.20989
alpha_rarefaction_8006_8.txt	8006	8	1.84025	3.63226	2.37689	2.57295	3.10433	3.53791	1.76119	1.84831	0.93732	1.31808	1.92697	1.62454	1.31256	1.8679	1.16215	4.07852
alpha_rarefaction_8006_9.txt	8006	9	1.84025	3.65269	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.04156
alpha_rarefaction_10005_0.txt	10005	0	1.84025	3.5976	2.37689	2.47002	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_10005_1.txt	10005	1	1.84025	3.68719	2.37689	2.57295	3.02112	3.53791	1.62644	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_10005_2.txt	10005	2	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_10005_3.txt	10005	3	1.79836	3.63018	2.37674	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_10005_4.txt	10005	4	1.84025	3.56058	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	1.92697	1.6247	1.31256	1.89123	1.16215	3.34863
alpha_rarefaction_10005_5.txt	10005	5	1.84025	3.65802	2.37689	2.5728	3.10433	3.50979	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_10005_6.txt	10005	6	1.84025	3.68703	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_10005_7.txt	10005	7	1.84025	3.68703	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.36787
alpha_rarefaction_10005_8.txt	10005	8	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_10005_9.txt	10005	9	1.84025	3.67054	2.37674	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.33091
alpha_rarefaction_12004_0.txt	12004	0	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_12004_1.txt	12004	1	1.84025	3.68719	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	1.92697	1.60795	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_12004_2.txt	12004	2	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	2.63798
alpha_rarefaction_12004_3.txt	12004	3	1.84025	3.68735	2.37674	2.57281	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	2.63798
alpha_rarefaction_12004_4.txt	12004	4	1.84025	3.68735	2.37689	2.51802	3.08768	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.34863
alpha_rarefaction_12004_5.txt	12004	5	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.0363
alpha_rarefaction_12004_6.txt	12004	6	1.84025	3.68735	2.36416	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.92054
