	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_10_0.txt	10	0	12.0	6.5	2.0	5.0	2.0	12.0	8.0	3.0	3.0	4.5	4.0	8.0	3.0	4.0	3.0	6.5
alpha_rarefaction_10_1.txt	10	1	5.0	12.0	4.0	3.0	3.0	13.0	2.0	3.0	4.5	5.0	5.0	4.0	3.0	6.5	4.0	4.5
alpha_rarefaction_10_2.txt	10	2	8.0	4.0	2.0	4.0	3.0	12.0	4.5	3.0	4.5	3.0	5.0	6.5	4.0	4.0	2.0	5.0
alpha_rarefaction_10_3.txt	10	3	2.0	5.5	3.0	4.5	3.0	5.33333333333	3.0	4.0	6.5	3.0	3.0	3.0	4.0	4.5	4.5	8.0
alpha_rarefaction_10_4.txt	10	4	5.0	7.0	3.0	4.0	3.0	9.0	4.5	5.0	4.0	3.0	11.0	3.0	3.0	8.0	5.0	4.5
alpha_rarefaction_10_5.txt	10	5	3.0	3.0	3.0	2.0	4.0	3.0	4.5	5.0	3.0	3.0	5.0	8.0	3.0	5.0	2.0	4.5
alpha_rarefaction_10_6.txt	10	6	2.0	5.0	2.0	4.5	4.0	6.5	5.0	3.0	3.0	3.0	5.0	3.0	5.0	6.5	4.5	3.0
alpha_rarefaction_10_7.txt	10	7	2.0	6.5	4.0	12.0	9.0	12.0	5.0	11.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0
alpha_rarefaction_10_8.txt	10	8	3.0	5.33333333333	6.5	6.5	4.0	55.0	3.0	3.0	3.0	4.0	5.0	7.0	2.0	5.0	3.0	3.0
alpha_rarefaction_10_9.txt	10	9	2.0	6.5	3.0	3.0	12.0	5.0	5.0	3.0	2.0	3.0	5.33333333333	3.0	2.0	2.0	5.0	2.0
