	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_10_0.txt	10	0	0.757575757576	0.625	1.0	0.735294117647	0.735294117647	0.793650793651	0.714285714286	0.724637681159	0.793650793651	0.595238095238	0.892857142857	0.714285714286	0.793650793651	0.735294117647	0.724637681159	0.625
alpha_rarefaction_10_1.txt	10	1	0.694444444444	0.793650793651	0.735294117647	0.793650793651	0.757575757576	0.892857142857	0.735294117647	0.724637681159	0.595238095238	0.735294117647	0.694444444444	0.735294117647	0.724637681159	0.625	0.735294117647	0.595238095238
alpha_rarefaction_10_2.txt	10	2	0.714285714286	0.892857142857	0.862068965517	0.505050505051	0.724637681159	0.793650793651	0.595238095238	0.724637681159	0.595238095238	0.925925925926	0.694444444444	0.625	0.833333333333	0.735294117647	0.961538461538	0.735294117647
alpha_rarefaction_10_3.txt	10	3	0.961538461538	0.833333333333	0.980392156863	0.595238095238	0.793650793651	0.769230769231	0.724637681159	0.735294117647	0.625	0.877192982456	0.793650793651	0.793650793651	0.833333333333	0.595238095238	0.595238095238	0.714285714286
alpha_rarefaction_10_4.txt	10	4	0.735294117647	0.480769230769	0.757575757576	0.505050505051	0.757575757576	0.694444444444	0.595238095238	0.694444444444	0.735294117647	0.980392156863	0.5	0.877192982456	0.617283950617	0.714285714286	0.694444444444	0.595238095238
alpha_rarefaction_10_5.txt	10	5	0.617283950617	0.793650793651	0.757575757576	0.862068965517	0.833333333333	0.617283950617	0.595238095238	0.735294117647	0.980392156863	0.724637681159	0.735294117647	0.714285714286	0.757575757576	0.694444444444	0.862068965517	0.595238095238
alpha_rarefaction_10_6.txt	10	6	0.961538461538	0.694444444444	1.0	0.595238095238	0.892857142857	0.625	0.909090909091	0.793650793651	0.793650793651	0.757575757576	0.694444444444	0.724637681159	0.694444444444	0.625	0.595238095238	0.793650793651
alpha_rarefaction_10_7.txt	10	7	0.961538461538	0.625	0.833333333333	0.793650793651	0.694444444444	0.793650793651	0.735294117647	0.5	0.735294117647	0.925925925926	0.980392156863	0.833333333333	0.877192982456	0.833333333333	0.757575757576	0.862068965517
alpha_rarefaction_10_8.txt	10	8	0.724637681159	0.769230769231	0.625	0.625	0.505050505051	1.0	0.724637681159	0.617283950617	0.793650793651	0.833333333333	0.694444444444	0.480769230769	0.961538461538	0.694444444444	0.724637681159	0.757575757576
alpha_rarefaction_10_9.txt	10	9	0.862068965517	0.625	0.617283950617	0.877192982456	0.757575757576	0.735294117647	0.694444444444	0.617283950617	0.735294117647	0.793650793651	0.769230769231	0.757575757576	1.0	1.0	0.694444444444	0.862068965517
alpha_rarefaction_2009_0.txt	2009	0	0.179284102208	0.107787161696	0.155322215164	0.074441847209	0.161788172384	0.0861507212908	0.0957756796354	0.119267696854	0.196614939367	0.0939399148064	0.146645628504	0.1685533601	0.236151396922	0.152412673275	0.145357413056	0.0948436653634
alpha_rarefaction_2009_1.txt	2009	1	0.177597009319	0.104229257412	0.158136107947	0.085694777592	0.171295957356	0.0954949889087	0.109585810063	0.12055690197	0.202362621426	0.0992912601213	0.13511443119	0.201202665294	0.180200062703	0.192070722104	0.158624252273	0.0859632021834
alpha_rarefaction_2009_2.txt	2009	2	0.192324152136	0.108207076628	0.195177057001	0.0792145769325	0.151021019676	0.0950452936133	0.103695333603	0.117732250498	0.169821877845	0.0898112055477	0.140660332641	0.169734805623	0.23563911741	0.146290260729	0.14958049554	0.0814573180595
alpha_rarefaction_2009_3.txt	2009	3	0.21686116527	0.11857671082	0.170457805592	0.0865105143211	0.159046723963	0.0966325223443	0.111182746084	0.128346228436	0.183230571616	0.0955059529824	0.138388753156	0.180240910632	0.187719782035	0.152471747488	0.139318185788	0.0818945381437
alpha_rarefaction_2009_4.txt	2009	4	0.202158889391	0.111997580501	0.160857884592	0.0986889596216	0.145242925433	0.0931753733104	0.101012760238	0.124018175857	0.189248739782	0.106269481305	0.141396566459	0.203633657688	0.191624578711	0.126122368116	0.147640209202	0.0781951639664
alpha_rarefaction_2009_5.txt	2009	5	0.214902840148	0.0909646118926	0.140650960424	0.0869986603424	0.170122215353	0.0862298039687	0.103097965266	0.128826601534	0.201243998016	0.102142755606	0.153532292127	0.177927488774	0.181044817562	0.149494337034	0.145914710514	0.0994124389559
alpha_rarefaction_2009_6.txt	2009	6	0.191211913836	0.114025234894	0.203387164844	0.0850207593103	0.167016922042	0.0887753206394	0.113327552509	0.140794931205	0.201902285557	0.101467238103	0.138650172162	0.162819652212	0.223312443858	0.168285696011	0.144889285591	0.0814887469146
alpha_rarefaction_2009_7.txt	2009	7	0.184133116995	0.103596983992	0.15550138887	0.0950961842314	0.200955055083	0.0905704723431	0.103405773482	0.121104019214	0.192767624248	0.104411442364	0.139725140961	0.152595375583	0.19541661371	0.12763456844	0.145161554266	0.0910742278421
alpha_rarefaction_2009_8.txt	2009	8	0.193430214238	0.0958226985172	0.142847167216	0.0916022299748	0.173030578768	0.0932075334008	0.103457184683	0.121477896433	0.188594812737	0.0912442499869	0.147046204881	0.164508701728	0.196668245601	0.157225312518	0.158888835043	0.0833925861305
alpha_rarefaction_2009_9.txt	2009	9	0.183343154442	0.106233574726	0.195495270984	0.0918413019613	0.156573552015	0.0930262248019	0.0994090575252	0.116751104138	0.187646898398	0.102494294362	0.134885445086	0.191760780472	0.236248157202	0.142002825926	0.141535516619	0.0841368754414
alpha_rarefaction_4008_0.txt	4008	0	0.159136784654	0.086611539734	0.130278196367	0.0648698521471	0.159608674156	0.0824126282895	0.0979704917762	0.112062410031	0.162357210313	0.0852491659105	0.120875599368	0.171268811747	0.180415572318	0.131380409708	0.139480630521	0.0702368956353
alpha_rarefaction_4008_1.txt	4008	1	0.183384185026	0.0829330160277	0.142905981921	0.0672857838857	0.146139535408	0.0782771928983	0.101035673162	0.112939429582	0.168176846295	0.081150292734	0.139618150746	0.159683417752	0.177714197414	0.12063725052	0.138057759204	0.0705663064098
alpha_rarefaction_4008_2.txt	4008	2	0.162039952211	0.0962682052195	0.159638068233	0.0651912973861	0.138291378602	0.0836576512575	0.0920593467751	0.126864387312	0.173901781176	0.0813735212103	0.12562132023	0.154857051239	0.179849187921	0.12731113891	0.137181341157	0.0664895561482
alpha_rarefaction_4008_3.txt	4008	3	0.164695080433	0.0875960095116	0.146838630984	0.0673085659245	0.143412215094	0.0800361396806	0.0934965863522	0.121742689333	0.16485826843	0.0841054575198	0.127365256714	0.154675627033	0.1905094057	0.127962372075	0.140128510871	0.071291937546
alpha_rarefaction_4008_4.txt	4008	4	0.158291648915	0.0856179111274	0.136021923287	0.0641750155643	0.143544665553	0.0806211165797	0.0920437744788	0.119697790512	0.17967069928	0.082046476958	0.127911328755	0.159752289469	0.181218018486	0.124853606155	0.136498843095	0.066280406593
alpha_rarefaction_4008_5.txt	4008	5	0.166057042103	0.0919981977038	0.138171176892	0.0668676907462	0.146301282612	0.080571496807	0.104380460898	0.113006803314	0.177722844408	0.0868844093212	0.133560758196	0.161187322924	0.185993159221	0.124451334415	0.139050121795	0.0701901418199
alpha_rarefaction_4008_6.txt	4008	6	0.158259648904	0.0777929062683	0.135719545598	0.0632921385	0.134185530571	0.0857978998783	0.10053688888	0.121091072652	0.163875355987	0.0825867651123	0.127634083186	0.15303730298	0.205439878996	0.119053960563	0.145892204472	0.0627675866036
