	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_10_0.txt	10	0	4.54545454545	3.125	2.0	2.94117647059	1.47058823529	5.55555555556	3.57142857143	2.17391304348	2.38095238095	2.38095238095	3.57142857143	3.57142857143	2.38095238095	2.94117647059	2.17391304348	3.125
alpha_rarefaction_10_1.txt	10	1	2.77777777778	5.55555555556	2.94117647059	2.38095238095	2.27272727273	7.14285714286	1.47058823529	2.17391304348	2.38095238095	2.94117647059	2.77777777778	2.94117647059	2.17391304348	3.125	2.94117647059	2.38095238095
alpha_rarefaction_10_2.txt	10	2	3.57142857143	3.57142857143	1.72413793103	1.51515151515	2.17391304348	5.55555555556	2.38095238095	2.17391304348	2.38095238095	2.77777777778	2.77777777778	3.125	3.33333333333	2.94117647059	1.92307692308	2.94117647059
alpha_rarefaction_10_3.txt	10	3	1.92307692308	4.16666666667	2.94117647059	2.38095238095	2.38095238095	3.84615384615	2.17391304348	2.94117647059	3.125	2.63157894737	2.38095238095	2.38095238095	3.33333333333	2.38095238095	2.38095238095	3.57142857143
alpha_rarefaction_10_4.txt	10	4	2.94117647059	1.92307692308	2.27272727273	1.51515151515	2.27272727273	4.16666666667	2.38095238095	2.77777777778	2.94117647059	2.94117647059	2.5	2.63157894737	1.85185185185	3.57142857143	2.77777777778	2.38095238095
alpha_rarefaction_10_5.txt	10	5	1.85185185185	2.38095238095	2.27272727273	1.72413793103	3.33333333333	1.85185185185	2.38095238095	2.94117647059	2.94117647059	2.17391304348	2.94117647059	3.57142857143	2.27272727273	2.77777777778	1.72413793103	2.38095238095
alpha_rarefaction_10_6.txt	10	6	1.92307692308	2.77777777778	2.0	2.38095238095	3.57142857143	3.125	4.54545454545	2.38095238095	2.38095238095	2.27272727273	2.77777777778	2.17391304348	2.77777777778	3.125	2.38095238095	2.38095238095
alpha_rarefaction_10_7.txt	10	7	1.92307692308	3.125	3.33333333333	5.55555555556	4.16666666667	5.55555555556	2.94117647059	2.5	1.47058823529	2.77777777778	2.94117647059	3.33333333333	2.63157894737	3.33333333333	2.27272727273	1.72413793103
alpha_rarefaction_10_8.txt	10	8	2.17391304348	3.84615384615	3.125	3.125	1.51515151515	10.0	2.17391304348	1.85185185185	2.38095238095	3.33333333333	2.77777777778	1.92307692308	1.92307692308	2.77777777778	2.17391304348	2.27272727273
alpha_rarefaction_10_9.txt	10	9	1.72413793103	3.125	1.85185185185	2.63157894737	4.54545454545	2.94117647059	2.77777777778	1.85185185185	1.47058823529	2.38095238095	3.84615384615	2.27272727273	2.0	2.0	2.77777777778	1.72413793103
alpha_rarefaction_2009_0.txt	2009	0	2.86854563533	3.66476349765	2.79579987296	2.60546465231	3.23576344767	7.23666058842	2.68171902979	2.74315702764	2.55599421176	3.28789701822	3.22620382708	3.371067202	3.30611955691	2.89584079222	3.05250567417	2.75046629554
alpha_rarefaction_2009_1.txt	2009	1	2.84155214911	3.54379475202	2.84644994305	2.65653810535	3.25462318977	7.44860913488	2.73964525157	2.7728087453	2.63071407854	3.276611584	3.24274634857	3.42044530999	3.24360112865	2.88106083156	3.01386079319	2.75082246987
alpha_rarefaction_2009_2.txt	2009	2	2.88486228204	3.57083352871	2.92765585501	2.61408103877	3.1714414132	7.69866878268	2.69607867368	2.82557401196	2.54732816767	3.14339219417	3.23518765074	3.22496130683	3.29894764374	2.92580521458	3.14119040633	2.85100613208
alpha_rarefaction_2009_3.txt	2009	3	2.81919514851	3.67587803543	2.89778269507	2.68182594395	3.18093447927	7.05417413114	2.77956865211	2.82361702559	2.56522800263	3.2472024014	3.1829413226	3.24433639138	3.1912362946	2.89696320227	3.06500008733	2.86630883503
alpha_rarefaction_2009_4.txt	2009	4	3.03238334086	3.58392257604	2.89544192266	2.56591295016	3.19534435953	7.82673135807	2.6263317662	2.72839986886	2.64948235694	3.29435392046	3.11072446209	3.258138523	3.25761783809	2.77469209854	3.10044439323	2.89322106676
alpha_rarefaction_2009_5.txt	2009	5	2.79373692193	3.54761986381	2.9536701689	2.60995981027	3.23232209171	7.41576314131	2.68054709692	2.83418523374	2.6161719742	3.16642542378	3.22417813466	3.3806222867	3.25880671611	2.98988674068	3.0642089208	2.78354829077
alpha_rarefaction_2009_6.txt	2009	6	2.86817870754	3.64880751661	3.05080747267	2.72066429793	3.17332151879	7.27957629243	2.71986126021	2.8158986241	2.62472971224	3.2469516193	3.32760413188	3.25639304424	3.34968665787	3.0291425282	3.04267499742	2.85210614201
alpha_rarefaction_2009_7.txt	2009	7	2.76199675492	3.62589443972	2.95452638853	2.66269315848	3.21528088133	7.33620825979	2.68855011054	2.78539244191	2.69874673947	3.23675471329	3.2136782421	3.20450288725	3.32208243307	2.80796050567	3.04839263959	2.73222683526
alpha_rarefaction_2009_8.txt	2009	8	2.90145321357	3.64126254365	2.85694334433	2.65646466927	3.2875809966	7.27018760526	2.68988680176	2.67251372152	2.64032737832	3.28479299953	3.23501650739	3.12566533284	3.34336017522	2.83005562532	3.01888786583	2.75195534231
alpha_rarefaction_2009_9.txt	2009	9	2.93349047107	3.6119415407	2.93242906476	2.57155645492	3.13147104029	7.25604553455	2.68404455318	2.80202649931	2.62705657757	3.27981741958	3.10236523699	3.25993326802	3.30747420083	2.84005651852	2.97224584899	2.77651688957
alpha_rarefaction_4008_0.txt	4008	0	2.86446212377	3.46446158936	2.99639851643	2.59479408588	3.19217348313	7.41713654606	2.74317376973	2.68949784074	2.59771536501	3.32471747051	3.14276558357	3.2541074232	3.24748030172	2.89036901358	3.06857387146	2.73923892978
alpha_rarefaction_4008_1.txt	4008	1	2.7507627754	3.56611968919	3.00102562033	2.62414557154	3.21506977898	7.35805613244	2.72796317536	2.82348573956	2.69082954071	3.24601170936	3.21121746716	3.3533517728	3.19885555345	2.89529401248	3.03727070248	2.82265225639
alpha_rarefaction_4008_2.txt	4008	2	2.9167191398	3.65819179834	3.03312329642	2.60765189544	3.18070170784	7.36187331066	2.66972105648	2.79101652086	2.60852671764	3.25494084841	3.26615432599	3.25199807602	3.23728538258	2.92815619493	3.01798950546	2.79256135823
alpha_rarefaction_4008_3.txt	4008	3	2.79981636736	3.50384038047	2.93677261968	2.62503407105	3.15506873207	7.12321643158	2.71140100421	2.80008185466	2.63773229488	3.28011284327	3.18413141784	3.2481881677	3.23865989691	2.94313455773	3.08282723916	2.85167750184
alpha_rarefaction_4008_4.txt	4008	4	2.84924968047	3.4247164451	2.99248231231	2.63117563814	3.15798264217	7.49776384192	2.66926945988	2.75304918177	2.51538978991	3.19981260136	3.19778321887	3.19504578937	3.26192433275	2.87163294156	3.0029745481	2.78377707691
alpha_rarefaction_4008_5.txt	4008	5	2.82296971576	3.49593151275	2.90159471473	2.67470762985	3.21862821746	7.41257770624	2.71389198334	2.82517008286	2.66584266612	3.30160755421	3.20545819671	3.22374645849	3.34787686598	2.86238069155	3.05910267948	2.80760567279
alpha_rarefaction_4008_6.txt	4008	6	2.84867368027	3.50068078207	2.98583000316	2.5949776785	3.08626720312	7.63601308917	2.81503288865	2.785094671	2.62200569579	3.30347060449	3.19085207965	3.21378336258	3.28703806393	2.97634901407	3.06373629392	2.69900622395
alpha_rarefaction_4008_7.txt	4008	7	2.87262813312	3.69742888853	2.99065832572	2.67449477157	3.21152176825	7.39781713686	2.74478238835	2.76936730622	2.63630204969	3.30577380399	3.27896125273	3.24697749723	3.26241985129	2.96624433306	3.11204117239	2.8544269384
alpha_rarefaction_4008_8.txt	4008	8	2.86515183782	3.48910073044	2.96512850008	2.66725289322	3.22995611508	7.30696879358	2.70502907086	2.82521181969	2.68371603644	3.22806216567	3.20648704236	3.25265654157	3.22842416791	2.8348301544	3.05034878351	2.77892481779
alpha_rarefaction_4008_9.txt	4008	9	2.84393306728	3.56233326577	2.93297956599	2.61973515079	3.17117401669	7.69480707973	2.74366665403	2.80402812116	2.63020287389	3.2608066567	3.14420868193	3.26006946291	3.28676501279	2.92781143686	3.0734937855	2.77366123551
alpha_rarefaction_6007_0.txt	6007	0	2.90701277613	3.65582126742	2.89111818836	2.65696470396	3.13446855307	7.43279645919	2.71948331093	2.78069126794	2.61752450734	3.21757363141	3.26486857257	3.19179660559	3.29105714533	2.92102351281	3.07571845298	2.7910457551
alpha_rarefaction_6007_1.txt	6007	1	2.82361079735	3.58696453687	2.98751032947	2.56896238594	3.12787155668	7.43548595483	2.66351556266	2.74692415937	2.61114814888	3.26651598444	3.21464238934	3.21916503266	3.25302288481	2.96830798366	3.10744900605	2.7807872706
alpha_rarefaction_6007_2.txt	6007	2	2.88357851256	3.61546554266	2.94093763491	2.6730043887	3.2259893481	7.41441736883	2.73094574951	2.74841760932	2.61953225834	3.17281458008	3.19599923156	3.22694253691	3.33486308864	2.9195497019	3.11082179845	2.77029889538
