	mim16.m1c4l	mim16.m3c1l	mim16.m3c4t	mim16.m2c4l	mim16.m2c1l	mim16.m2c3t	mim16.m3c3l	mim16.m1c3t	mim16.m1c1l	mim16.m2c3l	mim16.m3c3t	mim16.m1c3l	mim16.m1c4t	mim16.m3c4l	mim16.m3c2l	mim16.m2c4t
mim16.m1c4l	0.0	0.619205576476	0.531891131813	0.660087151515	0.455920403642	0.574547405808	0.652165133215	0.575526330858	0.423540583119	0.449191940578	0.67401921189	0.59508735672	0.365643282347	0.714471522306	0.645071813968	0.646530820146
mim16.m3c1l	0.619205576476	0.0	0.784738194388	0.319748837771	0.604156365163	0.755056697898	0.451629924953	0.544934448157	0.622415297829	0.570467836257	0.655956942378	0.587773808721	0.692379041826	0.752611676931	0.369227715181	0.711305116656
mim16.m3c4t	0.531891131813	0.784738194388	0.0	0.762940269202	0.584630642388	0.563971999952	0.750661312632	0.60349246329	0.55741248404	0.56397111592	0.746813960731	0.716712819529	0.39604500941	0.70887395619	0.758865085085	0.694356371613
mim16.m2c4l	0.660087151515	0.319748837771	0.762940269202	0.0	0.641755160167	0.722114183623	0.341102575447	0.593394237526	0.483980708396	0.553735735081	0.644778108378	0.598992759105	0.682234813472	0.753284105453	0.329620225884	0.674277475507
mim16.m2c1l	0.455920403642	0.604156365163	0.584630642388	0.641755160167	0.0	0.590186941698	0.634579407749	0.473284391181	0.374575382541	0.390015770297	0.65701548598	0.546778376222	0.415759444439	0.685152268707	0.602379240417	0.671095161137
mim16.m2c3t	0.574547405808	0.755056697898	0.563971999952	0.722114183623	0.590186941698	0.0	0.743523374655	0.678581332415	0.548952036006	0.623050722684	0.438222879232	0.671407076975	0.47471956651	0.61737057439	0.741731460044	0.46658824645
mim16.m3c3l	0.652165133215	0.451629924953	0.750661312632	0.341102575447	0.634579407749	0.743523374655	0.0	0.594804071882	0.557994539262	0.54959434703	0.651142130124	0.562245096959	0.656016520007	0.766523895814	0.351357449049	0.624754414315
mim16.m1c3t	0.575526330858	0.544934448157	0.60349246329	0.593394237526	0.473284391181	0.678581332415	0.594804071882	0.0	0.524653022433	0.493480349744	0.644337718114	0.579122162037	0.559810985798	0.729964895114	0.61314955167	0.658296475185
mim16.m1c1l	0.423540583119	0.622415297829	0.55741248404	0.483980708396	0.374575382541	0.548952036006	0.557994539262	0.524653022433	0.0	0.3297042109	0.569534226118	0.530528523265	0.399629275425	0.693682387996	0.550583904843	0.601974553772
mim16.m2c3l	0.449191940578	0.570467836257	0.56397111592	0.553735735081	0.390015770297	0.623050722684	0.54959434703	0.493480349744	0.3297042109	0.0	0.556987176713	0.529468756328	0.458089826144	0.690705816182	0.533208391692	0.611929871937
mim16.m3c3t	0.67401921189	0.655956942378	0.746813960731	0.644778108378	0.65701548598	0.438222879232	0.651142130124	0.644337718114	0.569534226118	0.556987176713	0.0	0.584591828307	0.66738459716	0.582278620011	0.595383545136	0.409170195414
mim16.m1c3l	0.59508735672	0.587773808721	0.716712819529	0.598992759105	0.546778376222	0.671407076975	0.562245096959	0.579122162037	0.530528523265	0.529468756328	0.584591828307	0.0	0.626376449535	0.688247111683	0.546589192728	0.665116231154
mim16.m1c4t	0.365643282347	0.692379041826	0.39604500941	0.682234813472	0.415759444439	0.47471956651	0.656016520007	0.559810985798	0.399629275425	0.458089826144	0.66738459716	0.626376449535	0.0	0.717225112917	0.661547034684	0.649102936278
mim16.m3c4l	0.714471522306	0.752611676931	0.70887395619	0.753284105453	0.685152268707	0.61737057439	0.766523895814	0.729964895114	0.693682387996	0.690705816182	0.582278620011	0.688247111683	0.717225112917	0.0	0.722171971415	0.627165227164
mim16.m3c2l	0.645071813968	0.369227715181	0.758865085085	0.329620225884	0.602379240417	0.741731460044	0.351357449049	0.61314955167	0.550583904843	0.533208391692	0.595383545136	0.546589192728	0.661547034684	0.722171971415	0.0	0.684104190719
mim16.m2c4t	0.646530820146	0.711305116656	0.694356371613	0.674277475507	0.671095161137	0.46658824645	0.624754414315	0.658296475185	0.601974553772	0.611929871937	0.409170195414	0.665116231154	0.649102936278	0.627165227164	0.684104190719	0.0
