# Constructed from biom file
#OTU ID	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
None;Other;Other	0.0556795734498	0.155671214892	0.1811529415	0.0210346559518	0.260501995379	0.210278208345	0.0733166955282	0.0515130453379	0.0621608704209	0.149914015477	0.15132055204	0.139284914533	0.153208955224	0.122903417933	0.122533388059	0.0930853007821
k__Bacteria;p__Acidobacteria;c__Blastocatellia	0.0	0.0	0.000275099379651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.4613840397	0.333661555774	0.317148319831	0.409784028127	0.279563116992	0.157161348056	0.37582764592	0.404191616766	0.408248755939	0.454858125537	0.368213343297	0.367420566794	0.439776119403	0.360256681204	0.403056230859	0.37159198889
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.0	0.0	0.0	0.000662983425414	0.0	0.00100672749644	0.0	0.00034751924722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.00117237059759	0.0294931307732	0.000495178883372	0.00781516825716	0.00346565847511	0.173045270778	0.00494040949374	0.0136334473909	0.0	0.0	0.00835999346146	0.00537433753825	0.0	0.000422678629753	0.0	0.00100504349097
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.000401496779996	0.0	0.0	0.0	0.0	0.0017098387638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	0.0	0.000437629921383	0.0	0.0	0.0	0.00182169737452	0.0	0.00130988023952	0.0	0.0	0.0	0.0	0.0	0.00126803588926	0.0	0.000274102770265
k__Bacteria;p__Firmicutes;c__Clostridia	0.0	0.0131757865616	0.0	0.011391260673	0.00257298886788	0.130938493744	0.00478761332383	0.0069503849444	0.0	0.0	0.00460033159751	0.00348336692294	0.0	0.00576379949663	0.0	0.00370952415759
k__Bacteria;p__Firmicutes;c__Erysipelotrichia	0.00240898067997	0.0292586861725	0.00163684130892	0.0119337016575	0.00199537912203	0.0461177072181	0.00954976061933	0.0114414029085	0.0	0.0	0.0	0.0188101813839	0.0	0.0027281984284	0.0	0.00431255025217
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000493384986478
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.000802993559992	0.000312592800988	0.0	0.000220994475138	0.00173282923756	0.00110260630563	0.0	0.000775235243798	0.000421715538812	0.000988822012038	0.0	0.0	0.00238805970149	0.0	0.0013576232122	0.000767487756743
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.478150545233	0.437207921102	0.498727665369	0.536835760924	0.449695442134	0.272359737292	0.531017622492	0.509837467921	0.529168658101	0.389681857266	0.459029026458	0.464432335598	0.4025	0.506657188419	0.471442553595	0.523280461955
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.0	0.000781482002469	0.000563953728284	0.000321446509292	0.00047258979206	0.000783010275012	0.000560252623001	0.0	0.0	0.00455717970765	0.0054643532681	0.00119429723072	0.00212686567164	0.0	0.00161020427493	0.000584752576566
k__Bacteria;p__Tenericutes;c__Mollicutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00301239987857	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0	0.0	0.0	0.0	0.0	0.0036753543521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000895402382867
