internal_id	customer_label	rawseqs(R1+R2)	trimmed_seqs(R1+R2)	dada2_infered	chimera_seqs	chimera_free_seqs	unique_seqs	seqs(after_size_filtration)	final_unique_seqs
zr10612_1V3V4	mim16.m1c3t	188358	147694	72591	5707	66884	104	62267	20
zr10612_2V3V4	mim16.m2c3t	219430	170100	82336	3776	78560	175	63981	46
zr10612_3V3V4	mim16.m3c3t	252306	195618	94307	3778	90529	157	72701	25
zr10612_4V3V4	mim16.m1c4t	142494	110206	54420	4183	50237	76	49775	44
zr10612_5V3V4	mim16.m2c4t	169148	131854	62480	1006	61474	150	38088	23
zr10612_6V3V4	mim16.m3c4t	252386	195554	94098	1390	92708	247	62579	97
zr10612_7V3V4	mim16.m1c1l	124214	96204	43300	1860	41440	72	39268	29
zr10612_8V3V4	mim16.m2c1l	119260	92796	43201	1959	41242	96	37408	25
zr10612_9V3V4	mim16.m3c1l	106190	82830	39284	2410	36874	47	35569	16
zr10612_10V3V4	mim16.m3c2l	174802	135966	64234	2441	61793	164	46520	41
zr10612_11V3V4	mim16.m1c3l	151136	118506	48925	1588	47337	118	42823	26
zr10612_12V3V4	mim16.m2c3l	154894	119772	55179	1582	53597	147	40191	22
zr10612_13V3V4	mim16.m3c3l	124300	96776	43710	920	42790	141	26800	18
zr10612_14V3V4	mim16.m1c4l	162318	125438	59271	2550	56721	98	52049	26
zr10612_15V3V4	mim16.m2c4l	110876	85598	37851	1457	36394	99	31673	22
zr10612_16V3V4	mim16.m3c4l	182072	141452	66584	3228	63356	189	54724	48
