Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
Other	0.0556795734498	0.155671214892	0.1811529415	0.0210346559518	0.260501995379	0.210278208345	0.0733166955282	0.0515130453379	0.0621608704209	0.149914015477	0.15132055204	0.139284914533	0.153208955224	0.122903417933	0.122533388059	0.0930853007821
p__Acidobacteria	0.0	0.0	0.000275099379651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p__Actinobacteria	0.4613840397	0.333661555774	0.317148319831	0.410447011552	0.279563116992	0.158168075553	0.37582764592	0.404539136014	0.408248755939	0.454858125537	0.368213343297	0.367420566794	0.439776119403	0.360256681204	0.403056230859	0.37159198889
p__Bacteroidetes	0.00117237059759	0.0294931307732	0.000495178883372	0.00781516825716	0.00346565847511	0.173045270778	0.00494040949374	0.0136334473909	0.0	0.0	0.00835999346146	0.00537433753825	0.0	0.000422678629753	0.0	0.00100504349097
p__Cyanobacteria	0.000401496779996	0.0	0.0	0.0	0.0	0.0017098387638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p__Firmicutes	0.00240898067997	0.0428721026555	0.00163684130892	0.0233249623305	0.00456836798992	0.178877898337	0.0143373739432	0.0197016680924	0.0	0.0	0.00460033159751	0.0222935483068	0.0	0.00976003381429	0.0	0.00829617718003
p__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000493384986478
p__Proteobacteria	0.478953538793	0.438301995905	0.499291619097	0.537378201909	0.451900861164	0.274245353873	0.531577875115	0.510612703165	0.52959037364	0.395227858985	0.464493379726	0.465626632828	0.407014925373	0.506657188419	0.474410381082	0.524632702288
p__Tenericutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00301239987857	0.0	0.0	0.0	0.0	0.0
p__Verrucomicrobia	0.0	0.0	0.0	0.0	0.0	0.0036753543521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000895402382867
