Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
Other	0.0556795734498	0.155671214892	0.1811529415	0.0210346559518	0.260501995379	0.210278208345	0.0733166955282	0.0515130453379	0.0621608704209	0.149914015477	0.15132055204	0.139284914533	0.153208955224	0.122903417933	0.122533388059	0.0930853007821
g__Pyrinomonas;s__methylaliphatogenes	0.0	0.0	0.000275099379651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Bifidobacterium;s__reuteri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00310580762674	0.0	0.0	0.0	0.0	0.0
g__Corynebacterium;s__appendicis	0.0	0.0	0.0	0.0	0.000866414618778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Corynebacteriaceae;s__sp5276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000634017944629	0.0	0.0
g__Rhodococcus;s__erythropolis-qingshengii-sp5959	0.402042815617	0.295071974492	0.286474738999	0.358011049724	0.256406217181	0.141245465731	0.344733625344	0.359923011121	0.36900109646	0.424505588994	0.328608458072	0.337687541987	0.412910447761	0.313339353302	0.355413127901	0.337164680944
g__Microbacterium;s__aerolatum-sp6882	0.0593412240834	0.0385895812819	0.0306735808311	0.0517729784028	0.021870405377	0.0159158823247	0.0310940205766	0.0442686056459	0.0392476594788	0.0303525365434	0.0364990775985	0.0297330248065	0.0253731343284	0.0462833099579	0.0476431029584	0.0344273079453
g__Propionibacterium;s__acnes	0.0	0.0	0.0	0.0	0.000420079815165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149253731343	0.0	0.0	0.0
g__Eggerthella;s__lenta	0.0	0.0	0.0	0.000662983425414	0.0	0.00100672749644	0.0	0.00034751924722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Bacteroides;s__dorei	0.0	0.0	0.0	0.00138623807132	0.00110270951481	0.0169545694242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000422678629753	0.0	0.0
g__Bacteroides;s__fragilis-ovatus	0.0	0.0	0.0	0.0	0.0	0.000463414244395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Bacteroides;s__stercorirosoris	0.0	0.013910379644	0.0	0.00231039678553	0.0023629489603	0.0459579092028	0.00180808801059	0.00531971770744	0.0	0.0	0.0	0.00226418849991	0.0	0.0	0.0	0.000493384986478
g__Bacteroides;s__uniformis	0.0	0.00026570388084	0.0	0.000441988950276	0.0	0.0317678454434	0.000763980849547	0.00106928999145	0.0	0.0	0.00273217663405	0.0	0.0	0.0	0.0	0.0
g__Bacteroides;s__xylanisolvens	0.0	0.00826807958613	0.000495178883372	0.00279256654947	0.0	0.0565844772208	0.00165529184068	0.0	0.0	0.0	0.0	0.00311014903834	0.0	0.0	0.0	0.000511658504495
g__Dysgonomonas;s__mossii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00198491464867	0.0	0.0	0.0	0.0	0.0
g__Odoribacter;s__sp13171	0.0	0.0	0.0	0.0	0.0	0.000479394045926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Parabacteroides;s__distasonis	0.000690574461593	0.00704896766227	0.0	0.000883977900552	0.0	0.0202783681427	0.00071304879291	0.00724443969204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Parabacteroides;s__merdae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00364290217874	0.0	0.0	0.0	0.0	0.0
g__Alistipes;s__onderdonkii	0.000481796135995	0.0	0.0	0.0	0.0	0.00055929305358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Sugarcane;s__phytoplasma	0.000401496779996	0.0	0.0	0.0	0.0	0.0017098387638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Kurthia;s__gibsonii	0.0	0.0	0.0	0.0	0.0	0.000255676824494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Dolosigranulum;s__pigrum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00130988023952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Enterococcus	0.0	0.0	0.0	0.0	0.0	0.00156602055002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000749293934562	0.0	0.0
g__Lactobacillus;s__fermentum	0.0	0.000437629921383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Lactococcus;s__lactis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000518741954697	0.0	0.0
g__Streptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000274102770265
g__Blautia;s__coccoides-producta	0.0	0.0	0.0	0.0	0.0	0.0	0.00127330141591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000347196842336
g__Blautia;s__hansenii-producta	0.0	0.00242259420766	0.0	0.00108488196886	0.0	0.00386711197047	0.0014006315575	0.00294054747648	0.0	0.0	0.0	0.0	0.0	0.000480316624719	0.0	0.0
g__Blautia;s__hydrogenotrophica	0.0	0.0	0.0	0.0	0.0	0.000958788091852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Blautia;s__producta	0.0	0.0	0.0	0.000421898543446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Hungatella;s__effluvii	0.0	0.0026570388084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Lachnoclostridium;s__bolteae-sp32431	0.0	0.000812741282568	0.0	0.000220994475138	0.0	0.000655171862765	0.000636650707956	0.0	0.0	0.0	0.0	0.00131870319226	0.0	0.0	0.0	0.0
g__Lachnoclostridium;s__sp32341-sp32430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000438564432425
g__Lachnoclostridium;s__sp32362-sp33711	0.0	0.0	0.0	0.0	0.0	0.00055929305358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Lachnoclostridium;s__sp32402	0.0	0.0	0.0	0.0	0.0	0.00055929305358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Lachnoclostridium;s__sp32433	0.0	0.0	0.0	0.0	0.0	0.00169385896227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Lachnoclostridium;s__sp32441	0.0	0.0	0.0	0.0	0.0	0.00073507087042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Marvinbryantia;s__sp32970-sp32983	0.0	0.000328222441037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Lachnospiraceae	0.0	0.0	0.0	0.0	0.0	0.000767030473482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Lachnospiraceae;s__sp32146	0.0	0.000609555961926	0.0	0.000984429934706	0.0	0.00501765768069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Lachnospiraceae;s__sp32741-sp33513	0.0	0.0	0.0	0.0	0.0	0.00105466690104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Lachnospiraceae;s__sp32778	0.0	0.0	0.0	0.000482169763938	0.0	0.00683935505521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Lachnospiraceae;s__sp32790	0.0	0.000328222441037	0.0	0.00166750376695	0.0	0.00602438517714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Lachnospiraceae;s__sp33374	0.0	0.000390741001235	0.0	0.000301356102461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
