Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
seq92 Comamonadaceae;Delftia;acidovorans	1e-06	1e-06	1e-06	0.0007	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0005
seq105 Comamonadaceae;Delftia;acidovorans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0011	1e-06	1e-06	1e-06	1e-06	0.0007	1e-06	1e-06	1e-06
seq43 Comamonadaceae;Delftia;acidovorans	0.0006	1e-06	0.0004	0.0005	1e-06	1e-06	1e-06	1e-06	0.0003	0.0003	0.0004	1e-06	1e-06	0.0004	1e-06	1e-06
seq56 Comamonadaceae;Delftia;acidovorans	0.0002	0.0003	1e-06	0.0003	1e-06	1e-06	1e-06	0.0004	1e-06	1e-06	0.0004	0.0004	1e-06	0.0003	1e-06	0.0004
seq106 Comamonadaceae;Delftia;acidovorans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0014	1e-06	1e-06	1e-06	1e-06	1e-06
seq217 Comamonadaceae;Delftia;acidovorans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003
seq72 Comamonadaceae;Delftia;acidovorans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq223 Comamonadaceae;Delftia;acidovorans	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1 Comamonadaceae;Delftia;acidovorans	0.4772	0.4368	0.4961	0.5351	0.4493	0.2723	0.531	0.5082	0.5282	0.3851	0.4564	0.4639	0.4017	0.5058	0.4714	0.5181
seq71 Comamonadaceae;Delftia;acidovorans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0021	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq42 Comamonadaceae;Delftia;acidovorans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0031
seq81 Comamonadaceae;Delftia;lacustris-tsuruhatensis	1e-06	1e-06	0.001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq232 Comamonadaceae;Comamonas;testosteroni-thiooxydans	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq139 Comamonadaceae;Aquabacterium;parvum	1e-06	1e-06	0.0006	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq219 Comamonadaceae;Aquabacterium;fontiphilum	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
