Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
seq104 Erysipelotrichaceae;Turicibacter;sanguinis	1e-06	1e-06	1e-06	1e-06	1e-06	0.0009	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq102 Erysipelotrichaceae;Turicibacter;sanguinis	1e-06	1e-06	1e-06	1e-06	1e-06	0.001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6 Erysipelotrichaceae;Turicibacter;sanguinis	0.0013	0.021	0.0007	0.0087	0.0019	0.0263	0.0077	0.0082	1e-06	1e-06	1e-06	0.0139	1e-06	0.0024	1e-06	0.0032
seq69 Erysipelotrichaceae;Turicibacter;sanguinis	1e-06	1e-06	1e-06	1e-06	1e-06	0.0016	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq29 Erysipelotrichaceae;Turicibacter;sanguinis	1e-06	0.0019	1e-06	0.0007	1e-06	0.0006	1e-06	1e-06	1e-06	1e-06	1e-06	0.002	1e-06	1e-06	1e-06	0.0007
seq124 Erysipelotrichaceae;Holdemania;massiliensis	1e-06	1e-06	1e-06	1e-06	1e-06	0.0008	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq34 Erysipelotrichaceae;Coprobacillus;cateniformis	1e-06	0.0002	1e-06	0.0002	1e-06	0.0026	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06
seq35 Erysipelotrichaceae;Erysipelatoclostridium;ramosum	1e-06	0.002	1e-06	0.0002	1e-06	0.0004	0.0008	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq160 Erysipelotrichaceae;NA;sp36794	0.0005	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq11 Erysipelotrichaceae;NA;sp36741	0.0004	0.0039	0.0008	0.0019	1e-06	0.0114	0.001	0.0023	1e-06	1e-06	1e-06	0.0028	1e-06	1e-06	1e-06	0.0003
seq178 Erysipelotrichaceae;NA;sp36741	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0008	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
