Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
seq22 Lachnospiraceae;NA;sp32790	1e-06	0.0003	1e-06	0.0016	1e-06	0.006	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq57 Lachnospiraceae;NA;sp33636	1e-06	1e-06	1e-06	1e-06	1e-06	0.0022	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq140 Lachnospiraceae;Lachnoclostridium;sp32441	1e-06	1e-06	1e-06	1e-06	1e-06	0.0007	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq97 Lachnospiraceae;NA;sp32741-sp33513	1e-06	1e-06	1e-06	1e-06	1e-06	0.001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq169 Lachnospiraceae;Lachnoclostridium;sp32362-sp33711	1e-06	1e-06	1e-06	1e-06	1e-06	0.0005	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq135 Lachnospiraceae;NA;NA	1e-06	1e-06	1e-06	1e-06	1e-06	0.0007	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq37 Lachnospiraceae;Tyzzerella;sp33302	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0046	1e-06	1e-06	1e-06	1e-06	1e-06
seq179 Lachnospiraceae;Tyzzerella;sp33281	1e-06	0.0005	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq153 Lachnospiraceae;NA;sp33374	1e-06	0.0003	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq31 Lachnospiraceae;NA;sp32146	1e-06	0.0006	1e-06	0.0009	1e-06	0.003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq63 Lachnospiraceae;NA;sp32146	1e-06	1e-06	1e-06	1e-06	1e-06	0.0019	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq45 Lachnospiraceae;Hungatella;effluvii	1e-06	0.0026	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq70 Lachnospiraceae;Lachnoclostridium;sp32433	1e-06	1e-06	1e-06	1e-06	1e-06	0.0016	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq39 Lachnospiraceae;Lachnoclostridium;bolteae-sp32431	1e-06	0.0008	1e-06	0.0002	1e-06	0.0006	0.0006	1e-06	1e-06	1e-06	1e-06	0.0013	1e-06	1e-06	1e-06	1e-06
seq23 Lachnospiraceae;NA;sp32778	1e-06	1e-06	1e-06	0.0004	1e-06	0.0068	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq236 Lachnospiraceae;Robinsoniella;peoriensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002
seq204 Lachnospiraceae;NA;sp33760	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
