sample_id,seq12 Porphyromonadaceae;Parabacteroides;distasonis,seq20 Porphyromonadaceae;Parabacteroides;distasonis,seq38 Porphyromonadaceae;Parabacteroides;distasonis,seq47 Porphyromonadaceae;Parabacteroides;merdae,seq79 Porphyromonadaceae;Dysgonomonas;mossii,seq184 Porphyromonadaceae;Odoribacter;sp13171
mim16.m1c3t,43,0,0,0,0,0
mim16.m2c3t,315,94,42,0,0,0
mim16.m3c3t,0,0,0,0,0,0
mim16.m1c4t,29,15,0,0,0,0
mim16.m2c4t,0,0,0,0,0,0
mim16.m3c4t,796,358,115,0,0,30
mim16.m1c1l,28,0,0,0,0,0
mim16.m2c1l,188,58,25,0,0,0
mim16.m3c1l,0,0,0,0,0,0
mim16.m3c2l,0,0,0,0,0,0
mim16.m1c3l,0,0,0,156,85,0
mim16.m2c3l,0,0,0,0,0,0
mim16.m3c3l,0,0,0,0,0,0
mim16.m1c4l,0,0,0,0,0,0
mim16.m2c4l,0,0,0,0,0,0
mim16.m3c4l,0,0,0,0,0,0
