Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
seq146 Ruminococcaceae;*Soleaferrea;sp34492	1e-06	0.0004	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq48 Ruminococcaceae;Subdoligranulum;sp35590	1e-06	0.0003	1e-06	1e-06	1e-06	0.0021	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq95 Ruminococcaceae;Anaerotruncus;sp34475	1e-06	1e-06	1e-06	1e-06	1e-06	0.001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq36 Ruminococcaceae;Anaerotruncus;sp34453	1e-06	1e-06	1e-06	1e-06	1e-06	0.0028	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06
seq125 Ruminococcaceae;Anaerotruncus;sp34453	1e-06	1e-06	1e-06	1e-06	1e-06	0.0008	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq76 Ruminococcaceae;NA;sp34771	1e-06	1e-06	1e-06	1e-06	1e-06	0.0014	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq78 Ruminococcaceae;NA;sp34794	1e-06	0.0005	1e-06	1e-06	1e-06	0.0009	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq44 Ruminococcaceae;NA;sp35297	1e-06	1e-06	1e-06	1e-06	1e-06	0.0013	1e-06	1e-06	1e-06	1e-06	1e-06	0.0021	1e-06	1e-06	1e-06	1e-06
seq24 Ruminococcaceae;Oscillibacter;sp34634	1e-06	1e-06	1e-06	1e-06	0.0005	0.0066	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq74 Ruminococcaceae;Oscillibacter;sp34634	1e-06	1e-06	1e-06	1e-06	1e-06	0.0014	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq180 Ruminococcaceae;NA;sp35796	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq73 Ruminococcaceae;NA;sp34878	1e-06	0.0002	1e-06	1e-06	1e-06	0.0012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq21 Ruminococcaceae;NA;sp35748	1e-06	1e-06	1e-06	0.0004	0.0004	0.0076	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq25 Ruminococcaceae;Flavonifractor;plautii	1e-06	0.0004	1e-06	0.0003	1e-06	0.0036	0.0004	0.0026	1e-06	1e-06	1e-06	1e-06	1e-06	0.0008	1e-06	1e-06
seq68 Ruminococcaceae;Flavonifractor;plautii	1e-06	1e-06	1e-06	1e-06	1e-06	0.0017	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
