sample_id,seq9 Roseburia;sp33152,seq28 Roseburia;sp33177,seq30 Roseburia;sp33143,seq54 Roseburia;sp33143,seq83 Roseburia;sp33177
mim16.m1c3t,0,0,0,0,0
mim16.m2c3t,0,0,0.0015,0.0009,0
mim16.m3c3t,0,0,0,0,0
mim16.m1c4t,0.0027,0.0006,0.0004,0,0
mim16.m2c4t,0.0011,0,0,0,0
mim16.m3c4t,0.0329,0.005,0.0025,0.0013,0.0011
mim16.m1c1l,0,0,0,0,0
mim16.m2c1l,0,0,0,0,0
mim16.m3c1l,0,0,0,0,0
mim16.m3c2l,0,0,0,0,0
mim16.m1c3l,0,0,0,0,0
mim16.m2c3l,0,0,0,0,0
mim16.m3c3l,0,0,0,0,0
mim16.m1c4l,0.0026,0,0,0,0
mim16.m2c4l,0,0,0,0,0
mim16.m3c4l,0,0,0,0,0
