sample_id,seq6 Turicibacter;sanguinis,seq102 Turicibacter;sanguinis,seq29 Turicibacter;sanguinis,seq69 Turicibacter;sanguinis,seq104 Turicibacter;sanguinis
mim16.m1c3t,84,0,0,0,0
mim16.m2c3t,1347,0,125,0,0
mim16.m3c3t,56,0,0,0,0
mim16.m1c4t,436,0,36,0,0
mim16.m2c4t,76,0,0,0,0
mim16.m3c4t,1649,63,40,106,62
mim16.m1c1l,303,0,0,0,0
mim16.m2c1l,309,0,0,0,0
mim16.m3c1l,0,0,0,0,0
mim16.m3c2l,0,0,0,0,0
mim16.m1c3l,0,0,0,0,0
mim16.m2c3l,561,0,82,0,0
mim16.m3c3l,0,0,0,0,0
mim16.m1c4l,127,0,0,0,0
mim16.m2c4l,0,0,0,0,0
mim16.m3c4l,176,0,39,0,0
