"","g__Absiella","g__Acidaminococcus","g__Actinomyces","g__Adlercreutzia","g__Agathobaculum","g__Akkermansia","g__Alistipes","g__Allisonella","g__Anaerococcus","g__Anaeroglobus","g__Anaeromassilibacillus","g__Anaerostipes","g__Anaerotignum","g__Anaerotruncus","g__Asaccharobacter","g__Bacteroides","g__Barnesiella","g__Bifidobacterium","g__Bilophila","g__Blautia","g__Brachyspira","g__Butyricicoccus","g__Butyricimonas","g__Campylobacter","g__Candidatus_Gastranaerophilales_unclassified","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Christensenella","g__Citrobacter","g__Cloacibacillus","g__Clostridiales_unclassified","g__Clostridium","g__Collinsella","g__Comamonas","g__Coprobacillus","g__Coprobacter","g__Coprococcus","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Dialister","g__Dielma","g__Dorea","g__Eggerthella","g__Eisenbergiella","g__Enorma","g__Enterococcus","g__Enterorhabdus","g__Erysipelatoclostridium","g__Escherichia","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Faecalibacterium","g__Faecalitalea","g__Firmicutes_unclassified","g__Flavonifractor","g__Fusicatenibacter","g__Fusobacterium","g__Gemella","g__Gemmiger","g__Gordonibacter","g__Haemophilus","g__Hafnia","g__Harryflintia","g__Holdemanella","g__Holdemania","g__Hungatella","g__Intestinibacter","g__Intestinimonas","g__Klebsiella","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Lactobacillus","g__Lactococcus","g__Lactonifactor","g__Lawsonella","g__Lawsonibacter","g__Marvinbryantia","g__Massiliomicrobiota","g__Megamonas","g__Megasphaera","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Methanosphaera","g__Mitsuokella","g__Monoglobus","g__Odoribacter","g__Oscillibacter","g__Oxalobacter","g__Parabacteroides","g__Paraprevotella","g__Parasutterella","g__Parvimonas","g__Peptococcus","g__Peptoniphilus","g__Peptostreptococcaceae_unclassified","g__Phascolarctobacterium","g__Prevotella","g__Propionibacterium","g__Proteobacteria_unclassified","g__Pseudoflavonifractor","g__Pseudomonas","g__Pyramidobacter","g__Raoultella","g__Romboutsia","g__Roseburia","g__Rothia","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Sanguibacteroides","g__Sellimonas","g__Serratia","g__Slackia","g__Streptococcus","g__Sutterella","g__Turicibacter","g__Turicimonas","g__Tyzzerella","g__Veillonella","g__Victivallis"
"1-rB",0,0,0,0.04807,0.49318,0,0.7847,0,0,0,0,0.0911,0.71644,0.33451,0.05077,55.97305,1.20697,0,0.14567,1.85959,0,0,0.2574,0,0,0.06396,0,0,0,0,0,1.02655,0.56853,0,0,0,0.51829,0,0,0,0.03818,0.42219,0.02724,0.032,0,0,0,0.00783,2.46125,0,1.09269,13.54046,0,2.03798,0.38294,0.5487,0.49462,0,0.19167,0,0,0,0,0,0.07859,0.19199,0,0.09659,0,0.22768,0,0.56595,0,0,0,0,0.13464,0,0,0,0,0,0,0,0,0.82868,1.61357,0,0.04431,6.41761,0,0.02704,0,0,0,0,0.09178,0,0,0,0,0,0.0461,0,0,0.97266,0,0,3.04142,0.1999,0,0,0,0,0,0.00496,0,0,0,0,0
"1-rP",0,0,0,0.14767,0.40101,0,0.93087,0,0,0,0,0.1342,0.0655,0.23953,0.07967,63.21181,2.29267,0,0.12887,2.02678,0,0,0.20876,0,0,0,0,0,0,0,0,0.40886,0.14445,0,0,0,0.44452,0,0,0,0,0.5264,0.06597,0,0,0,0,0,0.1396,0,1.36302,4.71705,0,1.25422,0.2771,1.42211,0.69542,0,0.17777,0.00882,0,0,0,0,0.03359,0,0,0.03172,0,0.18534,0,0.51519,0,0,0,0,0.05917,0,0,0,0,0,0,0,0,0.45886,1.63634,0,0.16775,12.53233,0,0,0,0,0,0,0.14037,0,0,0,0,0,0,0,0,1.47253,0,0.01897,1.10828,0.10887,0,0,0,0,0,0.01805,0,0,0,0,0
"1-tB",0,0,0.01399,0,0.36335,0,0.3796,0,0,0,0,0.41454,0.10381,0,0,23.2937,0.47024,0,0.36203,22.34307,0,0,0.01358,0,0,0,0,0,0,0,0,0.39167,0.05806,0,0,0,0.46254,0,0,0,0,0.65674,0,0,0,0,0,0,0,0,2.54396,19.28564,0,1.08889,0.07455,0.94395,0.46904,0,0.23043,0,0,0,0,0,0.01861,0,0,0,0,0.97614,0,3.45789,0.03963,0.07645,0,0,0.20011,0,0,0,0,0,0,0,0,1.52107,0.90487,0,0.02877,7.39279,0,0,0,0,0,0,0.06665,0,0,0,0,0,0,0,0,10.36103,0,0,0.53317,0.03709,0,0,0,0,0.42238,0,0,0,0,0,0
"1-tP",0,0,0,0.20501,0.88525,0,1.18951,0,0,0,0,0.14435,0.03042,0.31064,0.11129,58.73808,2.26145,0,0.23719,0.92228,0,0,0.24783,0,0,0,0,0,0,0,0,0.31022,0.42061,0,0,0,0.68978,0,0,0,0,0.80486,0.15992,0,0,0,0,0,4.90262,0,2.02967,5.9735,0,2.12009,0.19152,0.69633,0.65542,0,0.30638,0.0129,0,0,0,0,0.03546,0,0,0,0,0.12171,0,0.28072,0,0,0,0,0.15447,0,0,0,0,0,0,0,0,2.89869,0.79871,0,0.16147,7.38777,0,0,0,0,0,0,0.09418,0,0,0,0,0,0,0,0,0.90518,0,0.15614,2.01387,0.39942,0,0,0,0,0.03512,0,0,0,0,0,0
"101-rB",0,0,0,0.02071,0.05182,3.20968,13.55941,0,0,0,0.29014,0.88298,0,0,0.02497,41.35292,2.5284,0.52818,0.0442,0.47628,0,0,0.18146,0,0,0,0,0,0,0.01232,0,0.07253,0.25187,0,0,0,0,0,0,0.08031,0,0.38083,0,0,0.00492,0,0,0,0,0,0.09987,3.17985,0,1.83806,0,0.12556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88993,0,0,0,0,0.22547,0,0,0,0,1.16394,0.38678,0.24896,0,0,1.87735,0.59289,0,3.17417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48141,0,16.87629,2.48685,0.17282,0,0,0,0,0.22584,0,0,0,0,0,0
"101-rP",0,0,0,0.00639,0.05669,1.15176,11.33392,0,0,0,0.11959,0.11292,0,0,0.00965,32.33106,3.32909,0.99814,0.0263,0.26491,0,0,0.22537,0,0.00295,0,0,0,0,0,0,0.31395,0.41558,0,0,0,0.18398,0,0,0.03978,0,0.4154,0.01043,0,0,0,0,0,0,0,0.80797,14.111,0,1.22956,0,2.18595,0,0,0,0,0,0,0,0,0,0,0,0,0.03823,0,0,3.83382,0,0,0,0,0.09307,0,0,0,0,0.67016,0,0.16375,0,0,1.58647,0.74233,0,3.80573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78657,0,12.16851,2.64691,0.24313,0,0,0,0,0.53897,0,0,0,0,0,0
"101-tB",0,0,0,0.01298,0.04692,0.72945,16.29091,0,0,0,0.05725,0.2688,0,0,0.00384,31.7147,5.31032,0.7605,0.05794,0.54954,0,0,0.08818,0,0.10139,0,0,0,0,0,0,0.17455,0.64921,0,0,0,0.06648,0,0,0.20562,0,0.15721,0,0,0.00295,0,0,0.10371,0,0,1.64552,14.0789,0,3.74409,0,0.56061,0,0,0,0.05439,0,0,0,0,0,0,0.10395,0,0,0,0,2.12276,0,0,0,0,0.18532,0,0,0,0,1.49096,0.05645,0.23627,0,0,2.11184,0.15155,0,2.59951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48902,0,9.79527,2.07107,0.09108,0,0,0,0,0.04969,0,0.00929,0,0,0,0
"101-tP",0,0,0,0.01993,0.14192,2.12955,12.20897,0,0,0,0.27194,0.25034,0,0,0.00157,32.41867,3.62083,0.11298,0.00513,0.28188,0,0,0.14375,0,0.30659,0,0,0,0,0,0,0.18148,0.46928,0,0,0,0,0,0,0.03705,0,0.14796,0,0,0.00369,0,0,0.35164,0,0,1.00484,9.56039,0,2.12489,0,0.38558,0,0,0,0,0,0,0,0,0,0,0.00198,0,0,0,0,0.92486,0,0,0,0,0.2145,0,0,0,0,0.91556,0.18439,0.39982,0,0,1.63192,0.3666,0,2.87936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14615,0,20.8361,3.28229,0.03563,0,0,0,0,0,0,0,0,0,0,0
"102-rB",0,0,0,0.08359,0,6.33324,17.32328,0,0,0,0,0,0,0.24082,0.34098,18.32605,0,0,0,4.00975,0,0,0,0,0,0.23729,0,0,0,0,0.00631,3.01979,0.44883,0,0,0,0,0,0,0,0.06071,2.01178,0.81126,0.02734,0,0,0,0.33437,0,0,0.99116,0.31403,0,3.48803,1.15156,0.54823,0,0,0,0.32265,0,0,0,0,0.49506,0,0,0,0,0.03805,0,2.98528,0.00633,0,0,0,0.10546,0,0,0,0,0,0,0,0,0.40299,0,1.75351,0,1.8867,0,1.4356,0,0,0,0,0.23353,0,0,0.02517,0,0,0,0,0.00447,0.77161,0,9.03975,18.167,0.99079,0,0.0294,0,0,1.12411,0,0,0.06287,0.01126,0,0
"102-rP",0,0,0,0.05715,0,4.54204,2.10231,0,0,0,0,3.17313,0.02288,0.06436,0.31855,12.10071,0,0,0,4.49858,0,0,0,0,0,1.49877,0,0,0,0,0.12237,1.01533,0.07829,0,0,0,0,0,0,0,0.04882,1.33628,1.00817,0.89724,0,0,0,1.97307,0,0,14.47639,0.76303,0,3.64012,0.48273,5.74519,0,0,0,0.71378,0,0,0,0,0.12186,0,0,0,0,0.13106,0,6.53541,0,0.01627,0,0,0,0,0,0,0,0,0,0,0,0.10494,0,0.3221,0,1.8623,0,0.2118,0,0,0,0,0.25111,0,0,0,0,0,0,0,0,1.53104,0,11.59049,13.79862,0.63839,0,0,0,0,2.04029,0,0,0,0.16504,0,0
