"term","estimate","std.error","statistic","p.value","padj","APlab","RHlab"
"ASV1276",10759959.057375,2184764.91108533,4.92499627890387,6.40984198044549e-06,0.00340362609161656,"ASV1276","s__unclassified-g__UC5-1-2E3"
"ASV29",105766.756053984,24260.6326305742,4.35960420589744,5.00016853092563e-05,0.0132754474496075,"ASV29","s__unclassified-f__Lachnospiraceae"
"ASV98",339359.181183463,83650.1001120657,4.05688912181605,0.000141509208513185,0.0250471299068337,"ASV98","s__Cuneatibacter caecimuris"
"ASV36",-65116.6222946953,16609.3964479272,-3.92046890438465,0.00022347500051519,0.0296663063183915,"ASV36","s__unclassified-g__Acetatifactor"
"ASV107",257956.236446986,66967.3476829212,3.85197033139738,0.000280272563837847,0.0297649462795794,"ASV107","s__unclassified-f__Lachnospiraceae"
"ASV17",3059.53570887934,823.238519699958,3.71646325538124,0.000436009808940175,0.0332966506015787,"ASV17","s__unclassified-g__Blautia"
"ASV29:treatmentPD1",-104355.553211937,28094.9343422657,-3.71439035737293,0.000438938896819305,0.0332966506015787,"ASV29","s__unclassified-f__Lachnospiraceae"
"ASV12",86731.1690965739,26262.2692640831,3.30250094629825,0.0015936201723922,0.105776538942532,"ASV12","s__unclassified-f__Lachnospiraceae"
"ASV107:treatmentPD1",-248875.59653067,77357.1887470807,-3.21722648614299,0.00205897150485624,0.121479318786518,"ASV107","s__unclassified-f__Lachnospiraceae"
"ASV101",251568.92337583,79826.7218792414,3.15143748175445,0.00250226777155834,0.129011641352708,"ASV101","s__unclassified-g__Hungatella"
"ASV101:treatmentPD1",-257996.822048629,82452.3301831844,-3.12904221718703,0.00267255754214649,0.129011641352708,"ASV101","s__unclassified-g__Hungatella"
"ASV28",-13524.3611954765,4401.11635118843,-3.07293879922636,0.00314795791557142,0.130806932449166,"ASV28","s__unclassified-g__Lachnospiraceae_UCG-006"
"ASV22",58498.9959213759,19073.532124281,3.06702479332108,0.00320242960798334,0.130806932449166,"ASV22","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV41",58990.8718193873,19600.6615360937,3.00963677734847,0.00377863534186512,0.143318240466456,"ASV41","s__unclassified-f__Lachnospiraceae"
"ASV12:treatmentPD1",-89483.8213738501,30237.400546139,-2.95937546738872,0.0043611294228452,0.15438398156872,"ASV12","s__unclassified-f__Lachnospiraceae"
"ASV50",-47925.4368802479,16447.6504721776,-2.91381659412798,0.00496011024725414,0.164613658830747,"ASV50","s__unclassified-f__Lachnospiraceae"
