"treatment.group","days.from.injection","mean.volume","sd.volume","lwr","upr"
"mimic1 x Anti-PD-1 x HONC-60-55.v3",6,17.3485,6.67776117048222,10.6707388295178,24.0262611704822
"mimic1 x Anti-PD-1 x HONC-60-55.v3",8,39.7256666666667,36.3222700327682,3.40339663389843,76.0479366994349
"mimic1 x Anti-PD-1 x HONC-60-55.v3",12,117.623166666667,75.9357877178695,41.6873789487972,193.558954384536
"mimic1 x Anti-PD-1 x HONC-60-55.v3",15,95.8386666666667,132.188530959888,0,228.027197626555
"mimic1 x Anti-PD-1 x HONC-60-55.v3",18,123.946666666667,211.227291166017,0,335.173957832684
"mimic1 x Anti-PD-1 x HONC-60-55.v3",21,146.965333333333,254.551424284629,0,401.516757617963
"mimic1 x Anti-PD-1 x HONC-60-55.v4",6,20.3481666666667,15.0472245973579,5.30094206930874,35.3953912640246
"mimic1 x Anti-PD-1 x HONC-60-55.v4",8,22.9645,21.8651203575466,1.09937964245337,44.8296203575466
"mimic1 x Anti-PD-1 x HONC-60-55.v4",12,54.7321666666667,69.6707245841705,0,124.402891250837
"mimic1 x Anti-PD-1 x HONC-60-55.v4",15,52.0356666666667,26.3659264408314,25.6697402258352,78.4015931074981
"mimic1 x Anti-PD-1 x HONC-60-55.v4",18,67.2768333333333,58.3215529207113,8.95528041262199,125.598386254045
"mimic1 x Anti-PD-1 x HONC-60-55.v4",21,70.305,85.5310454688822,0,155.836045468882
"mimic1 x IgG x HONC-60-55.v3",6,21.609,30.5597408693202,0,52.1687408693202
"mimic1 x IgG x HONC-60-55.v3",8,15.61875,22.0882480773148,0,37.7069980773148
"mimic1 x IgG x HONC-60-55.v3",12,134.75,190.565277529775,0,325.315277529775
"mimic1 x IgG x HONC-60-55.v3",15,185.34825,262.122008912119,0,447.470258912119
"mimic1 x IgG x HONC-60-55.v3",18,421.7855,321.642368665106,100.143131334894,743.427868665106
"mimic1 x IgG x HONC-60-55.v3",21,608.025,440.633590696397,167.391409303603,1048.6585906964
"mimic1 x IgG x HONC-60-55.v4",6,20.34475,1.82044640816477,18.5243035918352,22.1651964081648
"mimic1 x IgG x HONC-60-55.v4",8,27.912,9.53745626464415,18.3745437353558,37.4494562646442
"mimic1 x IgG x HONC-60-55.v4",12,288.625,102.707259967346,185.917740032654,391.332259967346
"mimic1 x IgG x HONC-60-55.v4",15,531.072,473.003524925555,58.0684750744452,1004.07552492555
"mimic1 x IgG x HONC-60-55.v4",18,1194.17725,63.1831728795333,1130.99407712047,1257.36042287953
"mimic1 x IgG x HONC-60-55.v4",21,1160.548,565.84169554788,594.70630445212,1726.38969554788
"mimic2 x Anti-PD1 x Fitness (DL081)",6,52.0048333333333,44.5004481166576,7.50438521667575,96.5052814499909
"mimic2 x Anti-PD1 x Fitness (DL081)",9,91.7565,21.213017341953,70.543482658047,112.969517341953
"mimic2 x Anti-PD1 x Fitness (DL081)",12,291.612666666667,80.8885655784137,210.724101088253,372.50123224508
"mimic2 x Anti-PD1 x Fitness (DL081)",15,181.004166666667,123.196461706834,57.807704959833,304.2006283735
"mimic2 x Anti-PD1 x Fitness (DL081)",18,227.328166666667,184.064483823152,43.2636828435148,411.392650489819
"mimic2 x Anti-PD1 x Fitness (DL081)",21,225.232,249.897475913623,0,475.129475913623
"mimic2 x Anti-PD1 x Saline",6,78.8025,47.2540867518355,31.5484132481645,126.056586751836
"mimic2 x Anti-PD1 x Saline",9,53.7741666666667,26.2394869916188,27.5346796750478,80.0136536582855
